,,Genetic Correlations,,,,,,,,,,,,,,,,,,,,,Probabilities,,,,,,,,,,,,,,,,,
,PPSTD9,-0.0448005059414695,-0.482728296975181,-0.169626137902735,0.384677481440359,0.341310810479176,0.236787751956473,-0.13909672678238,-0.577122609918864,-0.429881430412048,,,,,,,,,,,,0.341417543335834,0.0001,0.000287146640476577,0.0001,0.0001,0.0001,0.00300954278448429,0.0001,0.0001,,,,,,,,,,
,SHTWT,0.18382075089272,0.181213180668653,0.660274279151607,0.487419904291332,0.417988385207538,-0.161934640005211,0.175310923798073,0.198212061318955,0.66381919800968,0.0992731800054805,,,,,,,,,,,0.0000831356503552261,0.000105143731219615,0.0001,0.0001,0.0001,0.000540328189138739,0.000176796220628272,0.0000214456571216992,0.0001,0.0346613529374193,,,,,,,,,
,RTWT,-0.557793749104772,-0.462257211752804,-0.0443835686397342,0.661034353943293,0.949484982864183,-0.0237602026156746,-0.0529657749705394,-0.181157432227403,-0.112018647818212,0.160094146280706,0.332403795903481,,,,,,,,,,0.0001,0.0001,0.345933950566765,0.0001,0.0001,0.613993443885199,0.260594146669681,0.000105669255877849,0.0170741997351636,0.000626023959510835,0.0001,,,,,,,,
,BRNHT9,0.0484904577110324,-0.806267322522599,0.190892194646034,-0.15013773199946,0.285226039349772,0.0022621036973004,-0.0529351833741259,-0.419981907997378,0.115297026861862,0.0995232772487013,0.0883359208004943,0.26913781703442,,,,,,,,,0.303096645143931,0.0001,0.0000432583907890027,0.00135130009068063,0.0001,0.961705727531502,0.260869977207976,0.0001,0.0140738905113456,0.0342055091447784,0.0602987149153347,0.0001,,,,,,,
,PLTHT6,0.870766325852014,0.154645169344386,0.971628452768035,-0.340021604276689,-0.202018034695238,-0.135202332785383,0.105503661306174,-0.00817576965910018,0.620398507674079,-0.175394603927724,0.715009704735295,-0.0786454533675651,0.133882392217061,,,,,,,,0.0001,0.000959197452041316,0.0001,0.0001,0.0000147370775920308,0.00394011889420964,0.0247306130769216,0.862232063094613,0.0001,0.00017551863023213,0.0001,0.0945559974646248,0.00431027306686138,,,,,,
,FYLD,-0.557785865159006,-0.462282566576041,-0.0443324873151457,0.661016869010848,0.949484130339883,-0.023785757565921,-0.0529921001868827,-0.181212367886954,-0.112005354743352,0.160107138340188,0.332399161682918,0.9999,0.269179459360475,-0.0785907320178021,,,,,,,0.0001,0.0001,0.346489878025598,0.0001,0.0001,0.613612250827423,0.260356945182076,0.000105151375391355,0.0170874243537231,0.000625377173919972,0.0001,0.0001,0.0001,0.0947863809985119,,,,,
,DYLD,-0.483767200591746,-0.470581533085487,-0.155873552019976,0.553980428679518,0.669886935880756,0.356583289337662,-0.02752816289876,-0.254460969369168,-0.279100466704169,0.197713434630246,0.0240574251428412,0.698430858834198,0.257238577686393,-0.234611066930947,0.698409561893485,,,,,,0.0001,0.0001,0.000872262403512902,0.0001,0.0001,0.0001,0.558954057966067,0.0001,0.0001,0.000022514213639635,0.609566344276256,0.0001,0.0001,0.0001,0.0001,,,,
,TYLD,0.183812324701488,0.1812198849644,0.660224904209156,0.487435060186025,0.417963773472001,-0.161930049697316,0.175328533061332,0.198192334250325,0.663750908237343,0.099282140448118,0.9999,0.33239345937691,0.0883272282931203,0.714974990357424,0.33238876775735,0.0240390977515834,,,,,0.0000831992019330041,0.00010508069758286,0.0001,0.0001,0.0001,0.000540527661012202,0.000176526648457465,0.000021487002000109,0.0001,0.0346449321641649,0.0001,0.0001,0.0603240787977299,0.0001,0.0001,0.60983891948596,,,
,HI,-0.729987955508167,-0.511707274323148,-0.41909040982434,0.176717328426867,0.566107514227332,0.034009983407722,-0.147518027432816,-0.28144091552859,-0.521534382140019,0.0261045747202071,-0.385928028072726,0.699633146517382,0.244418699029971,-0.517508771068566,0.699633682118629,0.514140228483633,-0.385932719515283,,,,0.0001,0.0001,0.0001,0.000156438895528188,0.0001,0.470251116031731,0.00164217354687413,0.0001,0.0001,0.579466729996675,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,
,DM,-0.0753696275765529,-0.0693574995480766,-0.158938484739693,0.343813129773852,0.135714798512972,0.9999,0.115490141198922,-0.110226317118944,-0.344670901393836,0.23655519209335,-0.161987080513795,-0.023853739002681,0.00209896545307743,-0.135290916661248,-0.0238792645885492,0.356495728637977,-0.161982453782794,0.0339525269599839,,,0.109155830221515,0.14051182941626,0.000686102312963399,0.0001,0.00380433818746972,0.0001,0.01391259747873,0.0189401190347462,0.0001,0.0001,0.000538054232147589,0.61259870563288,0.964465540034624,0.00391633895909216,0.61221833145649,0.0001,0.000538254501236457,0.471001833583687,
,BRNHT6,0.126302939569778,-0.793795811528129,0.240635740898142,-0.106812028140095,0.342196954799857,0.00609403855057781,-0.0906564795912082,-0.437512847658059,0.167284758420672,0.157412757786361,0.143219781507889,0.324303214435043,0.918211389447382,0.208966360869575,0.324341690513865,0.308384747842677,0.14320186625608,0.285996845527785,0.00600903946287064,,0.00711175356083493,0.0001,0.0001,0.0229905239901909,0.0001,0.897082988604956,0.0538358505159255,0.0001,0.000349096604599364,0.000773610967672145,0.00224606595839605,0.0001,0.0001,0.0001,0.0001,0.0001,0.00224896048585288,0.0001,0.898510669694766
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
