,,Phenotypic Correlations,,,,,,,,,,,,,,,,,,,,,Probabilities,,,,,,,,,,,,,,,,,
,PPSTD9,0.0358480990738561,-0.225469304914454,-0.0685469294417382,0.263724561739911,0.27298379297029,0.156429675746661,-0.145948207301876,-0.255909625732374,-0.310991404867809,,,,,,,,,,,,0.446585232858959,0.00000124617737684574,0.145220824784822,0.0000000120691354688063,0.00000000349171558333694,0.000835350305338878,0.00184293242523825,0.0000000331503882122774,0.0000000000129345423260929,,,,,,,,,,
,SHTWT,0.112752833654564,0.164664088676848,0.495282747614996,0.530025429675646,0.533899107332417,0.0133254534347618,0.122735313618514,0.19407293375878,0.403622801936829,0.154595147356237,,,,,,,,,,,0.0163575557019247,0.000433105063518457,0,0,0,0.777295504563884,0.00892406888162656,0.0000319920458258238,0,0.000962901558557272,,,,,,,,,
,RTWT,-0.355661229888845,-0.221515114459565,0.1106016702084,0.613136975099272,0.842888445644796,0.147641187816062,0.00559818029199448,-0.0305934705541134,0.0363639279190561,0.176999357742213,0.493789505131236,,,,,,,,,,0.00000000000000577315972805081,0.00000192703418822049,0.018535271152333,0,0,0.00162730432106351,0.905416171099533,0.51601640446495,0.440067369639723,0.000152630737660919,0,,,,,,,,
,BRNHT9,-0.0695008733190818,-0.70055017192259,0.233255966152174,0.176744537505131,0.267505293265419,0.0294434740377038,0.301976827467293,-0.248998243352769,0.0996189674798013,0.199113453500941,0.0843046051447061,0.24474331541259,,,,,,,,,0.139691222445642,0,0.000000515985393745311,0.000156067651239766,0.00000000731493399186434,0.53192313028001,0.0000000000526307886161703,0.0000000788281735442098,0.0340324535364398,0.0000196349805250406,0.0730438165977634,0.000000132676689634792,,,,,,,
,PLTHT6,0.263739760971326,0.31879378763593,0.953105436647818,0.173555926647828,0.131014940325376,0.0111882165568005,0.110412996256126,0.188935429482986,0.560280953301636,-0.0740905249867208,0.497649903100815,0.0998478671394632,0.178074614384435,,,,,,,,0.0000000120450525109561,0.00000000000369171360148357,0,0.000205684612381685,0.00522477653560438,0.812286575572188,0.0187378175767789,0.0000519545050596815,0,0.11531745274913,0,0.0336215128789989,0.000138895195842981,,,,,,
,FYLD,-0.355655769091203,-0.221529568635976,0.110620399722378,0.613137079261633,0.842888371624947,0.147629976537772,0.00557448009133844,-0.0306043128231388,0.0363565267220975,0.177005299113471,0.493788867045091,0.999999977423303,0.244762978277067,0.0998637877668443,,,,,,,0.00000000000000577315972805081,0.00000192399393350584,0.0185152691039103,0,0,0.00162865273839752,0.905814734027628,0.515867613228036,0.440160502726899,0.000152551456456873,0,0,0.000000132360764570905,0.0335930887861415,,,,,
,DYLD,-0.345804651056171,-0.182954434105458,0.097005990156808,0.618492330516241,0.815721210905864,0.362239825605116,0.0174076478587479,-0.0280346958398576,-0.0317767945730841,0.195094198388386,0.404628286180523,0.953874541416886,0.218403024744249,0.0919472895588606,0.953869940334255,,,,,,0.0000000000000359712259978551,0.0000899145073010033,0.0390347042278918,0,0,0.00000000000000177635683940025,0.711751210336615,0.551741085238513,0.499909221198845,0.0000290081505043283,0,0,0.00000270060424067964,0.0504975525175668,0,,,,
,TYLD,0.112751534534436,0.164662220384596,0.495277971548037,0.530026988543855,0.533882207851728,0.0133335322827307,0.122738337454057,0.194068937686957,0.403603575928464,0.154594592617179,0.999999986398252,0.493780526397415,0.0843040081580784,0.497642114182225,0.493779887361362,0.404620027478555,,,,,0.016358800156159,0.000433171155019174,0,0,0,0.777164038912641,0.00892237293636278,0.0000320042728327863,0,0.00096294271066899,0,0,0.0730458551917947,0,0,0,,,
,HI,-0.509212421227688,-0.371771777630907,-0.284701449122946,0.14787061103993,0.412983441799947,0.14314147043501,-0.0942354523261392,-0.195402289516151,-0.285906599348811,0.0322671020170817,-0.301506830000207,0.613847972245514,0.181211645428788,-0.315315359695835,0.613846058430292,0.612916921063658,-0.301514824249611,,,,0,0.000000000000000222044604925031,0.000000000678818334876041,0.0015999347478024,0,0.00225874362128042,0.0450048097025268,0.0000281610580468161,0.000000000571076963495898,0.493314026277936,0.0000000000565516522499365,0,0.000105158170513597,0.00000000000648547882065031,0,0,0.0000000000564828184224098,,
,DM,-0.121374954480109,-0.0168820468650754,-0.0291700823684776,0.30647613604693,0.258200939914018,0.999999475273296,0.0550241681721464,-0.0823337391876758,-0.216640776612343,0.156348881012751,0.0133281475217181,0.147604234044797,0.0294428477435616,0.0112113214798725,0.147593040503408,0.362199980845724,0.0133362466286066,0.143116602732951,,,0.00971677557049033,0.720083764666242,0.535740777285774,0.0000000000262811994389267,0.0000000247352405224888,0,0.242495050221144,0.0800310433940308,0.00000326224730429203,0.000840621768944061,0.777251663461095,0.00163175275185035,0.531931860141093,0.811906157128491,0.00163310241022829,0.00000000000000177635683940025,0.777119870273702,0.00226278306482763,
,BRNHT6,-0.0550777363576728,-0.679218397376727,0.258332921318725,0.177463464435282,0.268705211541249,0.054498747048315,0.287633568388361,-0.223366530612952,0.141048167449672,0.152856085322603,0.0982466209555691,0.259898989303378,0.972994373319031,0.213713553325666,0.259918731787084,0.238700032133809,0.0982492724808027,0.196074495219415,0.0544991441861283,,0.242036101288754,0,0.0000000243194346882802,0.000146552781234099,0.00000000622989415610675,0.247028978051911,0.000000000445155023953703,0.0000015728290656547,0.00262280445386431,0.00110018945818346,0.0365869864808304,0.0000000198736445078396,0,0.00000444958570389176,0.0000000198229628267654,0.000000273418621965504,0.0365818980244521,0.0000263934855464498,0.247025528899418
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
