,,Genetic Correlations,,,,,,,,,,,,,,,,,,,,,Probabilities,,,,,,,,,,,,,,,,,
,PPSTD9,-0.296703456937948,-0.035132513605817,-0.224014509107938,0.0391734562095652,0.0412613783336331,-0.146896467818873,-0.339414166397286,-0.200762752505165,-0.579225906426767,,,,,,,,,,,,0.0001,0.455717186995784,0.0001,0.405535623639214,0.38095089582726,0.00171913395795542,0.0001,0.0000166912482901793,0.0001,,,,,,,,,,
,SHTWT,0.12483988473298,-0.0499177051581255,0.51989583045731,0.492432965510097,0.499957406754904,0.162556346890025,0.318287538791493,-0.0924338802646188,0.627111900493582,-0.107078340550066,,,,,,,,,,,0.00781082853425885,0.289070037048506,0.0001,0.0001,0.0001,0.000513934717713438,0.0001,0.0492848331257767,0.0001,0.0226496204603515,,,,,,,,,
,RTWT,-0.176442234472061,-0.194074734736534,0.249522007670504,0.751666446308747,0.83211501347986,0.140995552449857,0.207256570647735,-0.122059623234107,0.0231171702523556,-0.118061963602372,0.555416188007279,,,,,,,,,,0.000160239125879036,0.0000319865367184313,0.0001,0.0001,0.0001,0.00263260784946917,0.0001,0.00931030928729815,0.623619311538784,0.0119145713977813,0.0001,,,,,,,,
,BRNHT9,-0.671861416248081,0.158079650745034,0.714315536351914,-0.159233111162082,-0.049535956962471,-0.00696222167594463,-0.323341505423894,-0.255997453178077,-0.0199477320303676,0.169218806204272,-0.114874837166285,-0.00626363754956603,,,,,,,,,0.0001,0.00073416240173696,0.0001,0.000670298223506061,0.292778333628619,0.882520427260692,0.0001,0.0001,0.671979675752538,0.000297127997808122,0.0144322517065094,0.89423532783858,,,,,,,
,PLTHT6,-0.093131646378572,-0.0649255044733033,0.934829138831517,-0.143771121594556,0.00608735337483085,0.0121894965749367,0.0186998033406241,-0.14988505709789,0.485206919268641,-0.252147321226721,0.455744796859369,0.0843086218324552,0.4951680263097,,,,,,,,0.0475883854567232,0.167740917539051,0.0001,0.00215863360353397,0.89719526371026,0.795842353201255,0.69141326731933,0.00137713623120028,0.0001,0.0001,0.0001,0.0730301015911099,0.0001,,,,,,
,FYLD,-0.176442234472061,-0.194074734736534,0.249522007670504,0.751666446308747,0.83211501347986,0.140995552449857,0.207256570647735,-0.122059623234107,0.0231171702523556,-0.118061963602372,0.555416188007279,0.99999997850408,-0.00626363754956603,0.0843086218324552,,,,,,,0.000160239125879036,0.0000319865367184313,0.0001,0.0001,0.0001,0.00263260784946917,0.0001,0.00931030928729815,0.623619311538784,0.0119145713977813,0.0001,0.0001,0.89423532783858,0.0730301015911099,,,,,
,DYLD,-0.063527715821354,-0.110826301560229,0.171772522879116,0.524370962912027,0.659906882914358,0.466058499703248,0.231518688721326,-0.176181923884392,0.0703192898088713,-0.106568356683515,0.427826246338343,0.762876568602575,0.00217727152967153,0.0363764126031136,0.762876568602575,,,,,,0.177099744668417,0.0182966158481246,0.000239524721451279,0.0001,0.0001,0.0001,0.0001,0.000163914711159396,0.135077184505737,0.0233063274903818,0.0001,0.0001,0.963140779795516,0.439910293943513,0.0001,,,,
,TYLD,0.12483988473298,-0.0499177051581255,0.51989583045731,0.492432965510097,0.499957406754904,0.162556346890025,0.318287538791493,-0.0924338802646188,0.627111900493582,-0.107078340550066,0.99999986523813,0.555416188007279,-0.114874837166285,0.455744796859369,0.555416188007279,0.427826246338343,,,,,0.00781082853425885,0.289070037048506,0.0001,0.0001,0.0001,0.000513934717713438,0.0001,0.0492848331257767,0.0001,0.0226496204603515,0.0001,0.0001,0.0144322517065094,0.0001,0.0001,0.0001,,,
,HI,-0.399543946470027,-0.0621091673741612,-0.330510640960804,0.18254387675682,0.266966415832995,-0.113977234883106,-0.119743895140351,-0.0567046032268142,-0.614637656248006,0.0503151004649452,-0.543329039152989,0.340296706957972,0.0958274463973224,-0.362334383179957,0.340296706957972,0.142207153912142,-0.543329039152989,,,,0.0001,0.186988383578855,0.0001,0.0000933057855596608,0.0001,0.0152209054157,0.0107492337117425,0.228387077391609,0.0001,0.285243389846574,0.0001,0.0001,0.0414869323832305,0.0001,0.0001,0.00241512145217104,0.0001,,
,DM,-0.140752701222884,-0.115885265441801,-0.0665495129366259,0.0922822857802491,0.190563298259182,0.9999,0.134094778043526,-0.0964306849537948,0.0228428288339041,-0.146818447519027,0.162571602346446,0.140951115225525,-0.00707835874425034,0.0122348903131742,0.140951115225525,0.466013105142385,0.162571602346446,-0.114030596411861,,,0.00267829075252246,0.0135876422722261,0.157338159828876,0.0496600092770683,0.0000446167373107098,0.0001,0.00424866791760969,0.040215983864579,0.627745770575397,0.00172902437350531,0.000513302391441872,0.00264091352725071,0.880575277547026,0.795098920514953,0.00264091352725071,0.0001,0.000513302391441872,0.015172984656973,
,BRNHT6,-0.517556872662895,-0.0273288213379379,0.276420956961902,-0.184756416574321,0.00677730826079808,-0.0490605601102109,-0.326890569336084,-0.129871055095287,-0.000826780546235605,-0.573696836593255,-0.00399795185659651,0.0235023079450588,-0.0605758285952774,0.409568005609159,0.0235023079450588,-0.0494038416348164,-0.00399795185659651,0.0569367735294006,-0.0491767840195169,,0.0001,0.56180512142231,0.0001,0.0000763562959700259,0.885618947169853,0.297440650436737,0.0001,0.00563590979574613,0.985999110533642,0.0001,0.932375208979718,0.617846162673598,0.198127924715383,0.0001,0.617846162673598,0.294069082121879,0.932375208979718,0.226484683299548,0.296296275810884
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
