trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,NOHAV,FYLD,NDVI,LODG,PLTHT,CHL,ANGBR,STMDI,PPSTD
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1064P0027_1036,TMS18F1064P0027,1036,2,,1,2,15,1,9.4,0.76,0,,,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1324P0171_1037,TMS18F1324P0171,1037,2,,1,2,14,,,,,,,,,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1277P0045_1038,TMS18F1277P0045,1038,2,,1,2,13,,,,,,,,,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA982101_1039,IITA-TMS-IBA982101,1039,2,1,1,2,12,5,21.53,0.86,0,72,43.27,83.47,20.44,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1286P0012_1040,TMS18F1286P0012,1040,2,,1,2,11,8,21.6,0.82,5,111,56.03,76.38,26.336,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1366P0012_1041,TMS18F1366P0012,1041,2,,1,2,10,4,28.03,0.87,0,79,47.27,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1280P0091_1042,TMS18F1280P0091,1042,2,,1,2,9,7,31.73,0.9,0,97,51.6,77.29,17.866,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1396P0053_1043,TMS18F1396P0053,1043,2,,1,2,8,5,19.8,0.88,0,81,47.3,63.44,18.948,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA980581_1044,IITA-TMS-IBA980581,1044,2,1,1,2,7,8,34.32,0.83,0,112,42.93,81.03,22.464,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1520P0039_1045,TMS18F1520P0039,1045,2,,1,2,6,,,,,,,,,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1354P0027_1046,TMS18F1354P0027,1046,2,,1,2,5,9,23.09,0.89,1,91,50.2,78.58,20.182,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1355p0038_1047,TMS18F1355p0038,1047,2,,1,2,4,7,23.67,0.84,2,87,49.13,73.69,22.388,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1069P0023_1048,TMS18F1069P0023,1048,2,,1,2,3,6,21.67,0.85,1,69,50.97,53.89,20.37,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1163P0042_1049,TMS18F1163P0042,1049,2,,1,2,2,5,13.67,0.84,1,50,43.03,63.21,19.672,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1365P0018_1050,TMS18F1365P0018,1050,2,,1,2,1,3,15.67,0.72,1,,40.9,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1319P0033_1051,TMS18F1319P0033,1051,3,,1,3,1,6,25.6,0.74,2,79,53.43,74.48,23.264,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1004P0008_1052,TMS18F1004P0008,1052,3,,1,3,2,7,23.13,0.87,0,76.4,55.4,33.59,17.792,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1336P0015_1053,TMS18F1336P0015,1053,3,,1,3,3,5,12.6,0.85,1,71,52.63,34.4,19.706,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0156_1054,TMS18F1348P0156,1054,3,,1,3,4,6,34.67,0.83,1,91,51.47,66.71,19.854,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1068P0063_1055,TMS18F1068P0063,1055,3,,1,3,5,4,13.4,0.84,5,81,45.1,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA000070_1056,IITA-TMS-IBA000070,1056,3,1,1,3,6,4,42.6,0.88,0,,53.03,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0051_1057,TMS18F1348P0051,1057,3,,1,3,7,4,18.67,0.77,0,,40.77,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1280P0151_1058,TMS18F1280P0151,1058,3,,1,3,8,3,15.33,0.87,3,89,50.37,79,21.422,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1215P0027_1059,TMS18F1215P0027,1059,3,,1,3,9,5,17.4,0.87,0,94,54.57,72.93,22.642,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1041P0005_1060,TMS18F1041P0005,1060,3,,1,3,10,7,28.2,0.85,0,90,48.67,84.05,20.084,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1073P0038_1061,TMS18F1073P0038,1061,3,,1,3,11,1,6.73,0.88,1,,,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA30572_1062,IITA-TMS-IBA30572,1062,3,1,1,3,12,2,3.67,0.75,2,,49.1,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1058P0019_1063,TMS18F1058P0019,1063,3,,1,3,13,6,4.4,0.88,5,67.4,48.5,81.48,22.142,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1127P0011_1064,TMS18F1127P0011,1064,3,,1,3,14,5,18.87,0.82,0,66.4,49.1,73.16,17.526,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1132P0042_1065,TMS18F1132P0042,1065,3,,1,3,15,8,13.47,0.86,5,82,40.6,74.91,20.282,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1345P0043_1066,TMS18F1345P0043,1066,3,,1,3,16,7,27.93,0.87,0,104,54.1,75.41,25.282,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1472P0042_1067,TMS18F1472P0042,1067,3,,1,3,17,3,19.2,0.89,0,,62.27,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1481P0009_1068,TMS18F1481P0009,1068,3,,1,3,18,7,17.44,0.82,0,83.4,50.3,73.09,23.898,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1113P0038_1069,TMS18F1113P0038,1069,3,,1,3,19,3,17.6,0.87,1,94.4,52.37,89.25,21.904,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1209P0015_1070,TMS18F1209P0015,1070,3,,1,3,20,3,13.6,0.88,2,,,,,4
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1424P0021_1071,TMS18F1424P0021,1071,3,,1,3,21,6,19.73,0.86,3,119,52.53,75.29,29.256,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1317P0119_1072,TMS18F1317P0119,1072,3,,1,3,22,4,7.93,0.82,3,78.4,45.43,70.49,20.324,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1344P0003_1073,TMS18F1344P0003,1073,3,,1,3,23,8,30.67,0.87,0,102,56.7,83.71,19.334,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1339P0012_1074,TMS18F1339P0012,1074,3,,1,3,24,6,21.15,0.82,0,112,50.53,80.43,21.234,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA980581_1075,IITA-TMS-IBA980581,1075,3,1,1,3,25,7,31.2,0.84,1,129,44.7,80.82,27.906,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1344P0014_1076,TMS18F1344P0014,1076,4,,1,4,25,9,39.13,0.88,1,109,56.87,0,21.008,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1305P0007_1077,TMS18F1305P0007,1077,4,,1,4,24,6,17.73,0.89,4,153.4,52.87,93.83,22.4,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1305P0019_1078,TMS18F1305P0019,1078,4,,1,4,23,8,30.07,0.89,5,153,51.3,82.79,23.07,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1135P0025_1079,TMS18F1135P0025,1079,4,,1,4,22,3,8.8,0.87,0,89,51.13,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1217P0091_1080,TMS18F1217P0091,1080,4,,1,4,21,9,35.27,0.88,3,118,58.8,76.36,19.962,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1016P0010_1081,TMS18F1016P0010,1081,4,,1,4,20,7,26.2,0.78,6,141,53.47,101.31,27.402,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA982101_1082,IITA-TMS-IBA982101,1082,4,1,1,4,19,9,23.6,0.86,0,119,41.47,90.45,28.308,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1318P0018_1083,TMS18F1318P0018,1083,4,,1,4,18,9,27.33,0.89,1,138,56.9,85.66,20.024,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1153P0053_1084,TMS18F1153P0053,1084,4,,1,4,17,8,21.73,0.87,4,137,53.93,94.66,26.952,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1320P0082_1085,TMS18F1320P0082,1085,4,,1,4,16,8,15.87,0.88,0,96,51.77,72.13,23.586,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1317P0059_1086,TMS18F1317P0059,1086,4,,1,4,15,6,44.01,0.88,0,97,47.37,78,23.53,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1324P0107_1087,TMS18F1324P0107,1087,4,,1,4,14,9,36,0.84,0,90,53.4,0,16.912,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1120P0004_1088,TMS18F1120P0004,1088,4,,1,4,13,6,23.27,0.87,3,111,49.1,64.11,19.75,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1278P0183_1089,TMS18F1278P0183,1089,4,,1,4,12,8,31.33,0.83,1,81,60.23,70.51,20.242,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1353P0022_1090,TMS18F1353P0022,1090,4,,1,4,11,7,21.84,0.87,1,115,47.97,75.02,22.49,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1047P0049_1091,TMS18F1047P0049,1091,4,,1,4,10,,,0.83,0,,53.33,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1059P0015_1092,TMS18F1059P0015,1092,4,,1,4,9,7,30.27,0.85,2,100,56.87,81.07,24.658,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1268P0019_1093,TMS18F1268P0019,1093,4,,1,4,8,,,,,,,,,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1342P0003_1094,TMS18F1342P0003,1094,4,,1,4,7,5,13.07,0.75,2,52,48.07,58.93,19.268,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1426P0001_1095,TMS18F1426P0001,1095,4,,1,4,6,2,8.8,0.87,0,,,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1003P0010_1096,TMS18F1003P0010,1096,4,,1,4,5,2,14.67,0.8,2,,,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1120P0006_1097,TMS18F1120P0006,1097,4,,1,4,4,,,,,,,,13.434,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1505P0057_1098,TMS18F1505P0057,1098,4,,1,4,3,6,27.64,0.81,1,66,50.4,0,16.53,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMEB419_1099,TMEB419,1099,4,1,1,4,2,6,17.8,0.84,2,78,52.17,0,19.796,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1436P0049_1100,TMS18F1436P0049,1100,4,,1,4,1,3,18.27,0.84,2,80.6,46.27,65.51,18,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1330P0008_1101,TMS18F1330P0008,1101,5,,1,5,1,3,13.4,0.72,0,,,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1287P0039_1102,TMS18F1287P0039,1102,5,,1,5,2,4,20.11,0.87,0,87,47.6,69.12,20.388,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1262P0008_1103,TMS18F1262P0008,1103,5,,1,5,3,6,15.93,0.89,0,84,50.87,67.42,19.308,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0156_1104,TMS18F1348P0156,1104,5,,1,5,4,8,35.53,0.82,0,98,55,77.01,23.83,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1485P0022_1105,TMS18F1485P0022,1105,5,,1,5,5,5,30.93,0.89,0,89,50.97,82.63,22.864,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1343P0171_1106,TMS18F1343P0171,1106,5,,1,5,6,6,18.93,0.86,2,94,49.73,77.45,18.01,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1349P0065_1107,TMS18F1349P0065,1107,5,,1,5,7,6,33.91,0.83,0,79.4,51.13,68.58,20.01,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA982101_1108,IITA-TMS-IBA982101,1108,5,1,1,5,8,7,25.28,0.87,0,89,38.57,87.46,24.04,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1333P0012_1109,TMS18F1333P0012,1109,5,,1,5,9,7,24.13,0.87,1,86,47.9,58.19,19.904,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1056P0066_1110,TMS18F1056P0066,1110,5,,1,5,10,5,19.63,0.84,5,136,49.67,67.54,21.188,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1295P0030_1111,TMS18F1295P0030,1111,5,,1,5,11,5,27.93,0.86,0,106,56.03,79.47,20.756,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1313P0013_1112,TMS18F1313P0013,1112,5,,1,5,12,8,33.53,0.85,0,98,50.67,88.79,22.84,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA980581_1113,IITA-TMS-IBA980581,1113,5,1,1,5,13,6,22.13,0.84,1,90,44.73,81.42,23.154,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1007P0004_1114,TMS18F1007P0004,1114,5,,1,5,14,3,13.33,0.76,0,76,55.5,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1138P0028_1115,TMS18F1138P0028,1115,5,,1,5,15,5,24,0.83,2,84,49,77.33,19.356,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1121P0029_1116,TMS18F1121P0029,1116,5,,1,5,16,3,10.87,0.82,3,,51.43,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1345P0001_1117,TMS18F1345P0001,1117,5,,1,5,17,8,38.87,0.87,0,116,50.97,77.77,19.732,2
